Name,Pclass,Sex,SibSp,Parch,Embarked,Survived
"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",3,female,1,0,S,1
"Burke, Mr. Jeremiah",3,male,0,0,Q,0
"Andrew, Mr. Edgardo Samuel",2,male,0,0,S,0
"Nicholls, Mr. Joseph Charles",2,male,1,1,S,0
"Andersson, Mr. August Edvard (""Wennerstrom"")",3,male,0,0,S,1
"Ford, Miss. Robina Maggie ""Ruby""",3,female,2,2,S,0
"Navratil, Mr. Michel (""Louis M Hoffman"")",2,male,0,2,S,0
"Byles, Rev. Thomas Roussel Davids",2,male,0,0,S,0
"Bateman, Rev. Robert James",2,male,0,0,S,0
"Pears, Mrs. Thomas (Edith Wearne)",1,female,1,0,S,1
"Meo, Mr. Alfonzo",3,male,0,0,S,0
"van Billiard, Mr. Austin Blyler",3,male,0,2,S,0
"Olsen, Mr. Ole Martin",3,male,0,0,S,0
"Williams, Mr. Charles Duane",1,male,0,1,C,0
"Gilnagh, Miss. Katherine ""Katie""",3,female,0,0,Q,1
"Corn, Mr. Harry",3,male,0,0,S,0
"Smiljanic, Mr. Mile",3,male,0,0,S,0
"Sage, Master. Thomas Henry",3,male,8,2,S,0
"Cribb, Mr. John Hatfield",3,male,0,1,S,0
"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",2,female,0,0,S,1
"Bengtsson, Mr. John Viktor",3,male,0,0,S,0
"Calic, Mr. Jovo",3,male,0,0,S,0
"Panula, Master. Eino Viljami",3,male,4,1,S,0
"Goldsmith, Master. Frank John William ""Frankie""",3,male,0,2,S,1
"Chibnall, Mrs. (Edith Martha Bowerman)",1,female,0,1,S,1
"Skoog, Mrs. William (Anna Bernhardina Karlsson)",3,female,1,4,S,0
"Baumann, Mr. John D",1,male,0,0,S,0
"Ling, Mr. Lee",3,male,0,0,S,0
"Van der hoef, Mr. Wyckoff",1,male,0,0,S,0
"Rice, Master. Arthur",3,male,4,1,Q,0
"Johnson, Miss. Eleanor Ileen",3,female,1,1,S,1
"Sivola, Mr. Antti Wilhelm",3,male,0,0,S,0
"Smith, Mr. James Clinch",1,male,0,0,C,0
"Klasen, Mr. Klas Albin",3,male,1,1,S,0
"Lefebre, Master. Henry Forbes",3,male,3,1,S,0
"Isham, Miss. Ann Elizabeth",1,female,0,0,C,0
"Hale, Mr. Reginald",2,male,0,0,S,0
"Leonard, Mr. Lionel",3,male,0,0,S,0
"Sage, Miss. Constance Gladys",3,female,8,2,S,0
"Pernot, Mr. Rene",2,male,0,0,C,0
"Asplund, Master. Clarence Gustaf Hugo",3,male,4,2,S,0
"Becker, Master. Richard F",2,male,2,1,S,1
"Kink-Heilmann, Miss. Luise Gretchen",3,female,0,2,S,1
"Rood, Mr. Hugh Roscoe",1,male,0,0,S,0
"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",3,female,1,0,Q,1
"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",1,male,0,0,S,1
"Bourke, Mr. John",3,male,1,1,Q,0
"Turcin, Mr. Stjepan",3,male,0,0,S,0
"Pinsky, Mrs. (Rosa)",2,female,0,0,S,1
"Carbines, Mr. William",2,male,0,0,S,0
"Andersen-Jensen, Miss. Carla Christine Nielsine",3,female,1,0,S,1
"Navratil, Master. Michel M",2,male,1,1,S,1
"Brown, Mrs. James Joseph (Margaret Tobin)",1,female,0,0,C,1
"Lurette, Miss. Elise",1,female,0,0,C,1
"Mernagh, Mr. Robert",3,male,0,0,Q,0
"Olsen, Mr. Karl Siegwart Andreas",3,male,0,1,S,0
"Madigan, Miss. Margaret ""Maggie""",3,female,0,0,Q,1
"Yrois, Miss. Henriette (""Mrs Harbeck"")",2,female,0,0,S,0
"Vande Walle, Mr. Nestor Cyriel",3,male,0,0,S,0
"Sage, Mr. Frederick",3,male,8,2,S,0
"Johanson, Mr. Jakob Alfred",3,male,0,0,S,0
"Youseff, Mr. Gerious",3,male,0,0,C,0
"Cohen, Mr. Gurshon ""Gus""",3,male,0,0,S,1
"Strom, Miss. Telma Matilda",3,female,0,1,S,0
"Backstrom, Mr. Karl Alfred",3,male,1,0,S,0
"Albimona, Mr. Nassef Cassem",3,male,0,0,C,1
"Carr, Miss. Helen ""Ellen""",3,female,0,0,Q,1
"Blank, Mr. Henry",1,male,0,0,C,1
"Ali, Mr. Ahmed",3,male,0,0,S,0
"Cameron, Miss. Clear Annie",2,female,0,0,S,1
"Perkin, Mr. John Henry",3,male,0,0,S,0
"Givard, Mr. Hans Kristensen",2,male,0,0,S,0
"Kiernan, Mr. Philip",3,male,1,0,Q,0
"Newell, Miss. Madeleine",1,female,1,0,C,1
"Honkanen, Miss. Eliina",3,female,0,0,S,1
"Jacobsohn, Mr. Sidney Samuel",2,male,1,0,S,0
"Bazzani, Miss. Albina",1,female,0,0,C,1
"Harris, Mr. Walter",2,male,0,0,S,0
"Sunderland, Mr. Victor Francis",3,male,0,0,S,1
"Bracken, Mr. James H",2,male,0,0,S,0
"Green, Mr. George Henry",3,male,0,0,S,0
"Nenkoff, Mr. Christo",3,male,0,0,S,0
"Hoyt, Mr. Frederick Maxfield",1,male,1,0,S,1
"Berglund, Mr. Karl Ivar Sven",3,male,0,0,S,0
"Mellors, Mr. William John",2,male,0,0,S,1
"Lovell, Mr. John Hall (""Henry"")",3,male,0,0,S,0
"Fahlstrom, Mr. Arne Jonas",2,male,0,0,S,0
"Lefebre, Miss. Mathilde",3,female,3,1,S,0
"Harris, Mrs. Henry Birkhardt (Irene Wallach)",1,female,1,0,S,1
"Larsson, Mr. Bengt Edvin",3,male,0,0,S,0
"Sjostedt, Mr. Ernst Adolf",2,male,0,0,S,0
"Asplund, Miss. Lillian Gertrud",3,female,4,2,S,1
"Leyson, Mr. Robert William Norman",2,male,0,0,S,0
"Harknett, Miss. Alice Phoebe",3,female,0,0,S,0
"Hold, Mr. Stephen",2,male,1,0,S,0
"Collyer, Miss. Marjorie ""Lottie""",2,female,0,2,S,1
"Pengelly, Mr. Frederick William",2,male,0,0,S,0
"Hunt, Mr. George Henry",2,male,0,0,S,0
"Zabour, Miss. Thamine",3,female,1,0,C,0
"Murphy, Miss. Katherine ""Kate""",3,female,1,0,Q,1
"Coleridge, Mr. Reginald Charles",2,male,0,0,S,0
"Maenpaa, Mr. Matti Alexanteri",3,male,0,0,S,0
"Attalah, Mr. Sleiman",3,male,0,0,C,0
"Minahan, Dr. William Edward",1,male,2,0,Q,0
"Lindahl, Miss. Agda Thorilda Viktoria",3,female,0,0,S,0
"Hamalainen, Mrs. William (Anna)",2,female,0,2,S,1
"Beckwith, Mr. Richard Leonard",1,male,1,1,S,1
"Carter, Rev. Ernest Courtenay",2,male,1,0,S,0
"Reed, Mr. James George",3,male,0,0,S,0
"Strom, Mrs. Wilhelm (Elna Matilda Persson)",3,female,1,1,S,0
"Stead, Mr. William Thomas",1,male,0,0,S,0
"Lobb, Mr. William Arthur",3,male,1,0,S,0
"Rosblom, Mrs. Viktor (Helena Wilhelmina)",3,female,0,2,S,0
"Touma, Mrs. Darwis (Hanne Youssef Razi)",3,female,0,2,C,1
"Thorne, Mrs. Gertrude Maybelle",1,female,0,0,C,1
"Cherry, Miss. Gladys",1,female,0,0,S,1
"Ward, Miss. Anna",1,female,0,0,C,1
"Parrish, Mrs. (Lutie Davis)",2,female,0,1,S,1
"Smith, Mr. Thomas",3,male,0,0,Q,0
"Asplund, Master. Edvin Rojj Felix",3,male,4,2,S,1
"Taussig, Mr. Emil",1,male,1,1,S,0
"Harrison, Mr. William",1,male,0,0,S,0
"Henry, Miss. Delia",3,female,0,0,Q,0
"Reeves, Mr. David",2,male,0,0,S,0
"Panula, Mr. Ernesti Arvid",3,male,4,1,S,0
"Persson, Mr. Ernst Ulrik",3,male,1,0,S,1
"Graham, Mrs. William Thompson (Edith Junkins)",1,female,0,1,S,1
"Bissette, Miss. Amelia",1,female,0,0,S,1
"Cairns, Mr. Alexander",1,male,0,0,S,0
"Tornquist, Mr. William Henry",3,male,0,0,S,1
"Mellinger, Mrs. (Elizabeth Anne Maidment)",2,female,0,1,S,1
"Natsch, Mr. Charles H",1,male,0,1,C,0
"Healy, Miss. Hanora ""Nora""",3,female,0,0,Q,1
"Andrews, Miss. Kornelia Theodosia",1,female,1,0,S,1
"Lindblom, Miss. Augusta Charlotta",3,female,0,0,S,0
"Parkes, Mr. Francis ""Frank""",2,male,0,0,S,0
"Rice, Master. Eric",3,male,4,1,Q,0
"Abbott, Mrs. Stanton (Rosa Hunt)",3,female,1,1,S,1
"Duane, Mr. Frank",3,male,0,0,Q,0
"Olsson, Mr. Nils Johan Goransson",3,male,0,0,S,0
"de Pelsmaeker, Mr. Alfons",3,male,0,0,S,0
"Dorking, Mr. Edward Arthur",3,male,0,0,S,1
"Smith, Mr. Richard William",1,male,0,0,S,0
"Stankovic, Mr. Ivan",3,male,0,0,C,0
"de Mulder, Mr. Theodore",3,male,0,0,S,1
"Naidenoff, Mr. Penko",3,male,0,0,S,0
"Hosono, Mr. Masabumi",2,male,0,0,S,1
"Connolly, Miss. Kate",3,female,0,0,Q,1
"Barber, Miss. Ellen ""Nellie""",1,female,0,0,S,1
"Bishop, Mrs. Dickinson H (Helen Walton)",1,female,1,0,C,1
"Levy, Mr. Rene Jacques",2,male,0,0,C,0
"Haas, Miss. Aloisia",3,female,0,0,S,0
"Mineff, Mr. Ivan",3,male,0,0,S,0
"Lewy, Mr. Ervin G",1,male,0,0,C,0
"Hanna, Mr. Mansour",3,male,0,0,C,0
"Allison, Miss. Helen Loraine",1,female,1,2,S,0
"Saalfeld, Mr. Adolphe",1,male,0,0,S,1
"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",1,female,0,1,C,1
"Kelly, Miss. Anna Katherine ""Annie Kate""",3,female,0,0,Q,1
"McCoy, Mr. Bernard",3,male,2,0,Q,1
"Johnson, Mr. William Cahoone Jr",3,male,0,0,S,0
"Keane, Miss. Nora A",2,female,0,0,Q,1
"Williams, Mr. Howard Hugh ""Harry""",3,male,0,0,S,0
"Allison, Master. Hudson Trevor",1,male,1,2,S,1
"Fleming, Miss. Margaret",1,female,0,0,C,1
"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",1,female,1,0,C,1
"Abelson, Mr. Samuel",2,male,1,0,C,0
"Francatelli, Miss. Laura Mabel",1,female,0,0,C,1
"Hays, Miss. Margaret Bechstein",1,female,0,0,C,1
"Ryerson, Miss. Emily Borie",1,female,2,2,C,1
"Lahtinen, Mrs. William (Anna Sylfven)",2,female,1,1,S,0
"Hendekovic, Mr. Ignjac",3,male,0,0,S,0
"Hart, Mr. Benjamin",2,male,1,1,S,0
"Nilsson, Miss. Helmina Josefina",3,female,0,0,S,1
"Kantor, Mrs. Sinai (Miriam Sternin)",2,female,1,0,S,1
"Moraweck, Dr. Ernest",2,male,0,0,S,0
"Wick, Miss. Mary Natalie",1,female,0,2,S,1
"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",1,female,1,1,C,1
"Dennis, Mr. Samuel",3,male,0,0,S,0
"Danoff, Mr. Yoto",3,male,0,0,S,0
"Slayter, Miss. Hilda Mary",2,female,0,0,Q,1
"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",2,female,1,1,S,1
"Sage, Mr. George John Jr",3,male,8,2,S,0
"Young, Miss. Marie Grice",1,female,0,0,C,1
"Nysveen, Mr. Johan Hansen",3,male,0,0,S,0
"Ball, Mrs. (Ada E Hall)",2,female,0,0,S,1
"Goldsmith, Mrs. Frank John (Emily Alice Brown)",3,female,1,1,S,1
"Hippach, Miss. Jean Gertrude",1,female,0,1,C,1
"McCoy, Miss. Agnes",3,female,2,0,Q,1
"Partner, Mr. Austen",1,male,0,0,S,0
"Graham, Mr. George Edward",1,male,0,1,S,0
"Vander Planke, Mr. Leo Edmondus",3,male,2,0,S,0
"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",1,female,1,0,S,1
"Denkoff, Mr. Mitto",3,male,0,0,S,0
"Pears, Mr. Thomas Clinton",1,male,1,0,S,0
"Burns, Miss. Elizabeth Margaret",1,female,0,0,C,1
"Dahl, Mr. Karl Edwart",3,male,0,0,S,1
"Blackwell, Mr. Stephen Weart",1,male,0,0,S,0
"Navratil, Master. Edmond Roger",2,male,1,1,S,1
"Fortune, Miss. Alice Elizabeth",1,female,3,2,S,1
"Collander, Mr. Erik Gustaf",2,male,0,0,S,0
"Sedgwick, Mr. Charles Frederick Waddington",2,male,0,0,S,0
"Fox, Mr. Stanley Hubert",2,male,0,0,S,0
"Brown, Miss. Amelia ""Mildred""",2,female,0,0,S,1
"Smith, Miss. Marion Elsie",2,female,0,0,S,1
"Davison, Mrs. Thomas Henry (Mary E Finck)",3,female,1,0,S,1
"Coutts, Master. William Loch ""William""",3,male,1,1,S,1
"Dimic, Mr. Jovan",3,male,0,0,S,0
"Odahl, Mr. Nils Martin",3,male,0,0,S,0
"Williams-Lambert, Mr. Fletcher Fellows",1,male,0,0,S,0
"Elias, Mr. Tannous",3,male,1,1,C,0
"Arnold-Franchi, Mr. Josef",3,male,1,0,S,0
"Yousif, Mr. Wazli",3,male,0,0,C,0
"Vanden Steen, Mr. Leo Peter",3,male,0,0,S,0
"Bowerman, Miss. Elsie Edith",1,female,0,1,S,1
"Funk, Miss. Annie Clemmer",2,female,0,0,S,0
"McGovern, Miss. Mary",3,female,0,0,Q,1
"Mockler, Miss. Helen Mary ""Ellie""",3,female,0,0,Q,1
"Skoog, Mr. Wilhelm",3,male,1,4,S,0
"del Carlo, Mr. Sebastiano",2,male,1,0,C,0
"Barbara, Mrs. (Catherine David)",3,female,0,1,C,0
"Asim, Mr. Adola",3,male,0,0,S,0
"O'Brien, Mr. Thomas",3,male,1,0,Q,0
"Adahl, Mr. Mauritz Nils Martin",3,male,0,0,S,0
"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",1,female,1,0,C,1
"Moussa, Mrs. (Mantoura Boulos)",3,female,0,0,C,1
"Jermyn, Miss. Annie",3,female,0,0,Q,1
"Aubart, Mme. Leontine Pauline",1,female,0,0,C,1
"Harder, Mr. George Achilles",1,male,1,0,C,1
"Wiklund, Mr. Jakob Alfred",3,male,1,0,S,0
"Beavan, Mr. William Thomas",3,male,0,0,S,0
"Ringhini, Mr. Sante",1,male,0,0,C,0
"Palsson, Miss. Stina Viola",3,female,3,1,S,0
"Meyer, Mrs. Edgar Joseph (Leila Saks)",1,female,1,0,C,1
"Landergren, Miss. Aurora Adelia",3,female,0,0,S,1
"Widener, Mr. Harry Elkins",1,male,0,2,C,0
"Betros, Mr. Tannous",3,male,0,0,C,0
"Gustafsson, Mr. Karl Gideon",3,male,0,0,S,0
"Bidois, Miss. Rosalie",1,female,0,0,C,1
"Nakid, Miss. Maria (""Mary"")",3,female,0,2,C,1
"Tikkanen, Mr. Juho",3,male,0,0,S,0
"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",1,female,1,0,S,1
"Plotcharsky, Mr. Vasil",3,male,0,0,S,0
"Davies, Mr. Charles Henry",2,male,0,0,S,0
"Goodwin, Master. Sidney Leonard",3,male,5,2,S,0
"Buss, Miss. Kate",2,female,0,0,S,1
"Sadlier, Mr. Matthew",3,male,0,0,Q,0
"Lehmann, Miss. Bertha",2,female,0,0,C,1
"Carter, Mr. William Ernest",1,male,1,2,S,1
"Jansson, Mr. Carl Olof",3,male,0,0,S,1
"Gustafsson, Mr. Johan Birger",3,male,2,0,S,0
"Newell, Miss. Marjorie",1,female,1,0,C,1
"Sandstrom, Mrs. Hjalmar (Agnes Charlotta Bengtsson)",3,female,0,2,S,1
"Johansson, Mr. Erik",3,male,0,0,S,0
"Olsson, Miss. Elina",3,female,0,0,S,0
"McKane, Mr. Peter David",2,male,0,0,S,0
"Pain, Dr. Alfred",2,male,0,0,S,0
"Trout, Mrs. William H (Jessie L)",2,female,0,0,S,1
"Niskanen, Mr. Juha",3,male,0,0,S,1
"Adams, Mr. John",3,male,0,0,S,0
"Jussila, Miss. Mari Aina",3,female,1,0,S,0
"Hakkarainen, Mr. Pekka Pietari",3,male,1,0,S,0
"Oreskovic, Miss. Marija",3,female,0,0,S,0
"Gale, Mr. Shadrach",2,male,1,0,S,0
"Widegren, Mr. Carl/Charles Peter",3,male,0,0,S,0
"Richards, Master. William Rowe",2,male,1,1,S,1
"Birkeland, Mr. Hans Martin Monsen",3,male,0,0,S,0
"Lefebre, Miss. Ida",3,female,3,1,S,0
"Sdycoff, Mr. Todor",3,male,0,0,S,0
"Hart, Mr. Henry",3,male,0,0,Q,0
"Minahan, Miss. Daisy E",1,female,1,0,Q,1
"Cunningham, Mr. Alfred Fleming",2,male,0,0,S,0
"Sundman, Mr. Johan Julian",3,male,0,0,S,1
"Meek, Mrs. Thomas (Annie Louise Rowley)",3,female,0,0,S,0
"Drew, Mrs. James Vivian (Lulu Thorne Christian)",2,female,1,1,S,1
"Silven, Miss. Lyyli Karoliina",2,female,0,2,S,1
"Matthews, Mr. William John",2,male,0,0,S,0
"Van Impe, Miss. Catharina",3,female,0,2,S,0
"Gheorgheff, Mr. Stanio",3,male,0,0,C,0
"Charters, Mr. David",3,male,0,0,Q,0
"Zimmerman, Mr. Leo",3,male,0,0,S,0
"Danbom, Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren)",3,female,1,1,S,0
"Rosblom, Mr. Viktor Richard",3,male,1,1,S,0
"Wiseman, Mr. Phillippe",3,male,0,0,S,0
"Clarke, Mrs. Charles V (Ada Maria Winfield)",2,female,1,0,S,1
"Phillips, Miss. Kate Florence (""Mrs Kate Louise Phillips Marshall"")",2,female,0,0,S,1
"Flynn, Mr. James",3,male,0,0,Q,0
"Pickard, Mr. Berk (Berk Trembisky)",3,male,0,0,S,1
"Bjornstrom-Steffansson, Mr. Mauritz Hakan",1,male,0,0,S,1
"Thorneycroft, Mrs. Percival (Florence Kate White)",3,female,1,0,S,1
"Louch, Mrs. Charles Alexander (Alice Adelaide Slow)",2,female,1,0,S,1
"Kallio, Mr. Nikolai Erland",3,male,0,0,S,0
"Silvey, Mr. William Baird",1,male,1,0,S,0
"Carter, Miss. Lucile Polk",1,female,1,2,S,1
"Ford, Miss. Doolina Margaret ""Daisy""",3,female,2,2,S,0
"Richards, Mrs. Sidney (Emily Hocking)",2,female,2,3,S,1
"Fortune, Mr. Mark",1,male,1,4,S,0
"Kvillner, Mr. Johan Henrik Johannesson",2,male,0,0,S,0
"Hart, Mrs. Benjamin (Esther Ada Bloomfield)",2,female,1,1,S,1
"Hampe, Mr. Leon",3,male,0,0,S,0
"Petterson, Mr. Johan Emil",3,male,1,0,S,0
"Reynaldo, Ms. Encarnacion",2,female,0,0,S,1
"Johannesen-Bratthammer, Mr. Bernt",3,male,0,0,S,1
"Dodge, Master. Washington",1,male,0,2,S,1
"Mellinger, Miss. Madeleine Violet",2,female,0,1,S,1
"Seward, Mr. Frederic Kimber",1,male,0,0,S,1
"Baclini, Miss. Marie Catherine",3,female,2,1,C,1
